station_id,trips_started,name,lat,lon,capacity
7235,12083,Bay St / College St (West Side) - SMART,43.660087,-79.385655,12
7236,8421,Thompson St / Broadview Ave - SMART,43.659471,-79.350325,12
7237,3904,Ward Ave / Wallace Ave,43.663337,-79.446444,15
7238,3170,Sorauren Ave / Geoffrey St - SMART,43.649172,-79.4445087,16
7239,12285,Bloor St W / Manning Ave - SMART,43.663912,-79.416124,20
7240,12777,Bloor St W / Shaw Ave - SMART,43.662403,-79.423098,34
7241,5666,519 Church St,43.666874,-79.381155,12
7242,22940,Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,35
7243,2566,Exhibition GO Station,43.6352007,-79.4187711,14
7244,2605,Dufferin Gate - SMART,43.633473,-79.425679,16
7245,13193,Tecumseth St / Queen St W - SMART,43.646552,-79.406468,9
7246,16781,Yonge St / Bloor St,43.669969,-79.386532,14
7247,3055,Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,12
7248,15222,Baldwin Ave / Spadina Ave - SMART,43.654905,-79.398448,20
7249,3063,Dovercourt Rd / Harrison St (Green P) - SMART,43.651145,-79.423742,12
7250,18289,Ursula Franklin St / St. George St - SMART,43.660296,-79.397107,16
7251,17622,The Royal Ontario Museum (Bloor St Entrance),43.6685000462722,-79.3946235999697,19
7252,15583,Robert St / Bloor St W - SMART,43.665846,-79.404998,18
7253,19225,John St  / Mercer St - SMART,43.6461,-79.3895,12
7256,13341,Vanauley St / Queen St W - SMART,43.648437,-79.39838,12
7257,13499,Dundas St W / St. Patrick St,43.6545174,-79.3895315,19
7258,3432,Queen St E / Rushbrooke Ave,43.6626628,-79.3323698,15
7259,11609,Lower Spadina Ave / Lake Shore Blvd,43.638497,-79.39192,19
7260,17040,Spadina Ave / Adelaide St W,43.6472019,-79.3953394,15
7261,23399,Queens Quay E / Lower Sherbourne St,43.645215,-79.364898,27
7262,1769,Wychwood Ave / Benson Ave - SMART,43.6809164,-79.4229684,16
7263,15886,Walton St / Elizabeth St - SMART,43.657838,-79.38631,20
7264,11644,Bloor St E / Huntley St - SMART,43.671535,-79.379173,16
7265,2638,Wallace Ave / Symington Ave - SMART,43.661324,-79.449534,12
7266,684,Victoria Park Subway Station - SMART,43.6940155,-79.2889842,20
7267,5530,Dundas St E / Pembroke St - SMART,43.658295,-79.372346,16
7268,2840,111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,16
7269,12888,Toronto Eaton Centre (Yonge St),43.655431,-79.380653,14
7270,6584,Church St / Dundas St E - SMART,43.657024,-79.377257,15
7271,16388,Yonge St / Alexander St - SMART,43.662862,-79.383572,18
7272,12679,Yonge St / Dundonald St - SMART,43.665801,-79.384796,12
7273,13045,Bay St / Charles St W - SMART,43.668153,-79.38891,20
7274,7782,Queen's Park Cres E / Grosvenor St - SMART,43.661803,-79.389682,12
7275,12092,Queen St W / James St,43.652276,-79.380701,11
7276,8422,Bloor St W / Balmuto St,43.669903,-79.387802,11
7277,2210,Chorley Park - SMART,43.6856,-79.3718,20
7278,3275,Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,16
7279,1142,Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906,16
7280,9364,Charles St E / Jarvis St - SMART,43.669604,-79.381171,20
7281,17432,Charles St W / Balmuto St - SMART,43.668427,-79.38725,20
7283,8725,Front St W / Bay St (South Side),43.64595,-79.378761,19
7284,10887,University Ave / King St W - SMART,43.6477785,-79.3847928,24
7285,18787,Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,36
7286,5100,Gerrard St E / Broadview - SMART,43.665656,-79.352055,18
7287,3865,Queen St E / Pape Ave - SMART,43.661673,-79.337789,15
